YEAR TERM,"SUBJECT
CODE","DESCRIPTIVE
TITLE"
1st Year - 1st Semester,MMW,"Mathematics in the
Modern World"
1st Year - 1st Semester,PurCom,"Purposive
Communication"
1st Year - 1st Semester,TCW,"The Contemporary
World"
1st Year - 1st Semester,RPH,"Readings in
Philippine History"
1st Year - 1st Semester,PATH FIT 1,"Movement
Enhancement"
1st Year - 1st Semester,CS111,"Introduction to
Computing"
1st Year - 1st Semester,NSTP10,"ROTC/CWTS/LTS
1"
1st Year - 1st Semester,CS112,"Computer
Programming 1"
,,
1st Year - 2nd Semester,ArtApp,Art Appreciation
1st Year - 2nd Semester,UTS,"Understanding the
Self"
1st Year - 2nd Semester,STS,"Science,
Technology and
Society"
1st Year - 2nd Semester,PATH FIT 2,"Fitness Activity
and Exercises"
1st Year - 2nd Semester,CSMath121,"Linear Algebra for
Computer Science"
1st Year - 2nd Semester,CS121,"Computer
Programming 2"
1st Year - 2nd Semester,NSTP20,"ROTC/CWTS/LTS
2"
1st Year - 2nd Semester,CS122,"Physics for
Computer Science
(Basic Electronics)"
,,
2nd Year - 1st Semester,EnviSci,"Environmental
Science"
2nd Year - 1st Semester,PATH FIT 3,"Physical Activity
Towards Health
and Fitness 1"
2nd Year - 1st Semester,Rizal,"Life and Works of
Rizal"
2nd Year - 1st Semester,CS211,"Discrete Structures
1"
2nd Year - 1st Semester,CS212,"Human Computer
Interaction"
2nd Year - 1st Semester,CS213,"Data Structures
and Algorithms
(Algo 1)"
2nd Year - 1st Semester,CS214,"Fundamentals of
Database Systems"
2nd Year - 1st Semester,CSMath211,"Statistics for
Computer Science"
,,
2nd Year - 2nd Semester,Ethc,Ethics
2nd Year - 2nd Semester,PATH FIT 4,"Physical Activity
Towards Health
and Fitness 2"
2nd Year - 2nd Semester,CSMath221,"Calculus for
Computer Science"
2nd Year - 2nd Semester,CS221,"Algorithms and
Complexity (Algo
2)"
2nd Year - 2nd Semester,CS222,"Computer
Architecture and
Organization"
2nd Year - 2nd Semester,CS223,"Discrete Structures
2"
2nd Year - 2nd Semester,CS224,"Applications
Development and
Emerging
Technologies"
2nd Year - 2nd Semester,CS225,"Object-Oriented
Programming"
,,
3rd Year - 1st Semester,GnS,"Gender and
Society"
3rd Year - 1st Semester,CS311,"Automata Theory
and Formal
Languages"
3rd Year - 1st Semester,CS312,"Introduction to
Artificial
Intelligence"
3rd Year - 1st Semester,CS313,"Networks and
Communications"
3rd Year - 1st Semester,CS314,Operating Systems
3rd Year - 1st Semester,CS315,"Principles of
Programming
Languages"
3rd Year - 1st Semester,CS316,"Information
Management"
3rd Year - 1st Semester,CS317,"Software
Engineering"
,,
3rd Year - 2nd Semester,PICPE,"Philippine
Indigenous
Communities and
Peace Education"
3rd Year - 2nd Semester,CS321,"Information
Assurance and
Security"
3rd Year - 2nd Semester,CS322,Technopreneurship
3rd Year - 2nd Semester,CS323,"Parallel and
Distributed
Computing"
3rd Year - 2nd Semester,CS324,Machine Learning
3rd Year - 2nd Semester,CS325,Research Methods
3rd Year - 2nd Semester,CS326,"Software
Implementation
and Management"
3rd Year - 2nd Semester,CS327,"Social Issues and
Professional
Practice"
,,
,,
,,
4th Year - 1st Semester,FreeElec,Foreign Language
4th Year - 1st Semester,CS411,"CS Thesis Writing
1"
4th Year - 1st Semester,CS412,CS Elective 1
4th Year - 1st Semester,CS413,CS Elective 2
4th Year - 1st Semester,CS414,CS Elective 3
,,
4th Year - 2nd Semester,CS421,"CS Thesis Writing
2"
4th Year - 2nd Semester,CS422,CS Elective 4
4th Year - 2nd Semester,CS423,CS Elective 5
,,
