YEAR TERM,"SUBJECT
CODE",DESCRIPTIVE TITLE
1st Year - 1st Semester,DS111,Introduction to Computer Science
1st Year - 1st Semester,DS112,Computer Programming
1st Year - 1st Semester,MMW,Mathematics in the Modern World
1st Year - 1st Semester,PurCom,Purposive Communication
1st Year - 1st Semester,Rizal,Life and Works of Rizal
1st Year - 1st Semester,RPH,Readings in Philippine History
1st Year - 1st Semester,PATH FIT 1,Movement Enhancement
1st Year - 1st Semester,NSTP101,ROTC/CWTS/LTS I
,,
1st Year - 2nd Semester,DS121,Introduction to Data Science
1st Year - 2nd Semester,DS122,Introduction to Statistical Methods
1st Year - 2nd Semester,DS123,Data Structures and Algorithms
1st Year - 2nd Semester,DS124,Linear Algebra
1st Year - 2nd Semester,NSTP201,ROTC/CWTS/LTS II
1st Year - 2nd Semester,ArtApp,Art Appreciation
1st Year - 2nd Semester,UTS,Understanding the Self
1st Year - 2nd Semester,PATH FIT 2,Fitness Activity and Exercises
,,
2nd Year - 1st Semester,DS211,Linear and Nonlinear Models
2nd Year - 1st Semester,DS212,Object-Oriented Programming
2nd Year - 1st Semester,DS213,Human Computer Interaction
2nd Year - 1st Semester,Math111,Calculus 1
2nd Year - 1st Semester,STS,"Science, Technology and Society"
2nd Year - 1st Semester,Ethc,Ethics
2nd Year - 1st Semester,PATH FIT 3,"Physical Activity Towards Health and
Fitness 1"
,,
2nd Year - 2nd Semester,DS221,Data Visualization and Storytelling
2nd Year - 2nd Semester,DS222,Theory of Databases
2nd Year - 2nd Semester,DS223,Computer Networking
2nd Year - 2nd Semester,DS224,Optimization Theory
2nd Year - 2nd Semester,MATH121b,Calculus 2
2nd Year - 2nd Semester,TCW,The Contemporary World
2nd Year - 2nd Semester,PATH FIT 4,"Physical Activity Towards Health and
Fitness 2"
,,
3rd Year - 1st Semester,DS311,Exploratory Data Analysis
3rd Year - 1st Semester,DS312,Data Mining and Applications
3rd Year - 1st Semester,DS313,Advanced Database Management System
3rd Year - 1st Semester,DS314,DS Elective 1
3rd Year - 1st Semester,DS315,DS Elective 2
3rd Year - 1st Semester,GnS,Gender and Society
3rd Year - 1st Semester,EnviSci,Environmental Science
,,
3rd Year - 2nd Semester,DS321,Computational Statistics
3rd Year - 2nd Semester,DS322,Machine Learning
3rd Year - 2nd Semester,DS323,Cloud Computing
3rd Year - 2nd Semester,DS324,DS Elective 3
3rd Year - 2nd Semester,DS325,Capstone Project 1
3rd Year - 2nd Semester,ES211a,Technopreneurship
3rd Year - 2nd Semester,PICPE,"Philippine Indigenous Communities and
Peace Education"
,,
4th Year - 1st Semester,DS411,Predictive Analytics
4th Year - 1st Semester,DS412,"Time Series Analysis and Stochastic
Processes"
4th Year - 1st Semester,DS413,DS Elective 4
4th Year - 1st Semester,DS414,Data Science Capstone Project 2
4th Year - 1st Semester,FreeEle 411,Foreign Language
,,
4th Year - 2nd Semester,DS421,"On the Job Training (Data Science
Practice)"
,,
