YEAR TERM,"SUBJECT
CODE",DESCRIPTIVE TITLE
1st Year - 1st Semester,IT111,Introduction to Computing
1st Year - 1st Semester,IT112,Computer Programing 1
1st Year - 1st Semester,PurCom,Purposive Communication
1st Year - 1st Semester,RPH,Readings in Philippine History
1st Year - 1st Semester,TCW,The Contemporary World
1st Year - 1st Semester,MMW,Mathematics in the Modern World
1st Year - 1st Semester,PATH FIT 1,Movement Enhancement
1st Year - 1st Semester,NSTP101,ROTC/CWTS/LTS I
1st Year - 2nd Semester,IT121,Computer Programing 2
1st Year - 2nd Semester,IT122,Data Structures and Algorithms
1st Year - 2nd Semester,IT123,Discrete Mathematics
1st Year - 2nd Semester,ArtApp,Art Appreciation
1st Year - 2nd Semester,UTS,Understanding the Self
1st Year - 2nd Semester,PATH FIT 2,Fitness Activity and Exercises
1st Year - 2nd Semester,NSTP102,ROTC/CWTS/LTS 2
1st Year - 2nd Semester,STS,"Science, Technology and Society"
,,
2nd Year - 1st Semester,IT211,Intro to Human Computer Interaction
2nd Year - 1st Semester,IT212,Fundamentals of Database Systems
2nd Year - 1st Semester,IT213,Platform Technologies
2nd Year - 1st Semester,IT214,Object Oriented Programming
2nd Year - 1st Semester,IT215,Accounting Principles
2nd Year - 1st Semester,EnviSci,Environmental Science
2nd Year - 1st Semester,PATH FIT 3,Physical Activity Towards Health and Fitness 1
,,
2nd Year - 2nd Semester,IT221,Information Management
2nd Year - 2nd Semester,IT222,Networking 1
2nd Year - 2nd Semester,IT223,Web Systems and Technolgies
2nd Year - 2nd Semester,IT224,Systems Integration and Architecture
2nd Year - 2nd Semester,Ethc,Ethics
2nd Year - 2nd Semester,Rizal,Life and Works of Rizal
2nd Year - 2nd Semester,PATH FIT 4,Physical Activity Towards Health and Fitness 2
,,
3rd Year - 1st Semester,IT311,Information Assurance and Security
3rd Year - 1st Semester,IT312,Networking 2
3rd Year - 1st Semester,IT313,Mobile Programming
3rd Year - 1st Semester,IT314,Software Engineering
3rd Year - 1st Semester,IT315,IT Elective 1
3rd Year - 1st Semester,ES211a,Technopreneurship
,,
3rd Year - 2nd Semester,IT321,CAPSTONE Project and Research 1
3rd Year - 2nd Semester,IT322,Integrative Programming and Technologies
3rd Year - 2nd Semester,IT323,Applications Development and Emerging Technologies
3rd Year - 2nd Semester,IT324,Quantitative Methods
3rd Year - 2nd Semester,IT325,IT Elective 2
3rd Year - 2nd Semester,PICPE,Philippine Indigenous Communities and Peace Education
3rd Year - 2nd Semester,FreeElec,Foreign Language
,,
4th Year - 1st Semester,IT411,CAPSTONE Project and Research 2
4th Year - 1st Semester,IT412,System Administration and Maintenance
4th Year - 1st Semester,IT413,Social and Professional Issues
4th Year - 1st Semester,IT414,IT Elective 3
4th Year - 1st Semester,IT415,IT Elective 4
4th Year - 1st Semester,GnS,Gender and Society
,,
,,
,,
